date,start_station_name,avgTemp,season,month,value
2022-01-05,Hoboken Terminal - River St & Hudson Pl,0.32,winter,1,1
2022-01-12,Hoboken Terminal - River St & Hudson Pl,-0.19,winter,1,1
2022-01-11,Hoboken Terminal - River St & Hudson Pl,-0.54,winter,1,1
2022-01-13,Hoboken Terminal - River St & Hudson Pl,0.4,winter,1,1
2022-01-02,Riverview Park,1.14,winter,1,1
2022-01-16,Hoboken Ave at Monmouth St,-0.8,winter,1,1
2022-01-24,Newport Pkwy,-0.02,winter,1,1
2022-01-11,Hoboken Terminal - River St & Hudson Pl,-0.54,winter,1,1
2022-01-24,Hoboken Terminal - River St & Hudson Pl,-0.02,winter,1,1
2022-01-27,Hoboken Terminal - River St & Hudson Pl,-0.42,winter,1,1
2022-01-12,Hoboken Terminal - Hudson St & Hudson Pl,-0.19,winter,1,1
2022-01-22,Newport Pkwy,-0.5900000000000001,winter,1,1
2022-01-19,Newport Pkwy,0.32,winter,1,1
2022-01-02,Clinton St & Newark St,1.14,winter,1,1
2022-01-12,Hoboken Terminal - Hudson St & Hudson Pl,-0.19,winter,1,1
2022-01-04,Warren St,-0.27,winter,1,1
2022-01-19,Warren St,0.32,winter,1,1
2022-01-02,Washington St,1.14,winter,1,1
2022-01-13,Hoboken Terminal - River St & Hudson Pl,0.4,winter,1,1
2022-01-13,Hoboken Terminal - River St & Hudson Pl,0.4,winter,1,1
2022-01-13,Hoboken Terminal - River St & Hudson Pl,0.4,winter,1,1
2022-01-18,Newport Pkwy,0.18,winter,1,1
2022-01-24,Clinton St & Newark St,-0.02,winter,1,1
2022-01-22,Oakland Ave,-0.5900000000000001,winter,1,1
2022-01-26,Manila & 1st,-0.2299999999999999,winter,1,1
2022-01-23,Clinton St & Newark St,-0.0699999999999999,winter,1,1
2022-01-01,Harborside,1.16,winter,1,1
2022-01-03,Hoboken Ave at Monmouth St,0.1399999999999999,winter,1,1
2022-01-01,Hoboken Ave at Monmouth St,1.16,winter,1,1
2022-01-31,7 St & Monroe St,-0.3399999999999999,winter,1,1
2022-01-04,Bloomfield St & 15 St,-0.27,winter,1,1
2022-01-08,Columbus Dr at Exchange Pl,-0.25,winter,1,1
2022-01-27,Columbus Dr at Exchange Pl,-0.42,winter,1,1
2022-01-14,Columbus Dr at Exchange Pl,0.48,winter,1,1
2022-01-25,Columbus Dr at Exchange Pl,0.36,winter,1,1
2022-01-25,Columbus Dr at Exchange Pl,0.36,winter,1,1
2022-01-03,Columbus Dr at Exchange Pl,0.1399999999999999,winter,1,1
2022-01-02,City Hall - Washington St & 1 St,1.14,winter,1,1
2022-01-17,Hoboken Terminal - River St & Hudson Pl,0.39,winter,1,1
2022-01-27,Hoboken Terminal - River St & Hudson Pl,-0.42,winter,1,1
2022-01-10,Oakland Ave,0.16,winter,1,1
2022-01-10,Clinton St & 7 St,0.16,winter,1,1
2022-01-02,Newport Pkwy,1.14,winter,1,1
2022-01-21,Hoboken Terminal - River St & Hudson Pl,-0.6,winter,1,1
2022-01-23,Pershing Field,-0.0699999999999999,winter,1,1
2022-01-25,Communipaw & Berry Lane,0.36,winter,1,1
2022-01-13,Grand St,0.4,winter,1,1
2022-01-02,Columbus Dr at Exchange Pl,1.14,winter,1,1
2022-01-11,Liberty Light Rail,-0.54,winter,1,1
2022-01-12,Clinton St & Newark St,-0.19,winter,1,1
2022-01-11,Clinton St & Newark St,-0.54,winter,1,1
2022-01-12,Hoboken Terminal - River St & Hudson Pl,-0.19,winter,1,1
2022-01-12,Brunswick & 6th,-0.19,winter,1,1
2022-01-19,Essex Light Rail,0.32,winter,1,1
2022-01-23,Grove St PATH,-0.0699999999999999,winter,1,1
2022-01-11,Grove St PATH,-0.54,winter,1,1
2022-01-06,Columbus Dr at Exchange Pl,0.49,winter,1,1
2022-01-18,Clinton St & 7 St,0.18,winter,1,1
2022-01-04,Clinton St & 7 St,-0.27,winter,1,1
2022-01-02,Baldwin at Montgomery,1.14,winter,1,1
2022-01-14,Warren St,0.48,winter,1,1
2022-01-21,Baldwin at Montgomery,-0.6,winter,1,1
2022-01-19,Grove St PATH,0.32,winter,1,1
2022-01-22,Grove St PATH,-0.5900000000000001,winter,1,1
2022-01-05,Grove St PATH,0.32,winter,1,1
2022-01-10,Grove St PATH,0.16,winter,1,1
2022-01-26,Grove St PATH,-0.2299999999999999,winter,1,1
2022-01-05,Grove St PATH,0.32,winter,1,1
2022-01-26,Hoboken Terminal - Hudson St & Hudson Pl,-0.2299999999999999,winter,1,1
2022-01-26,Hoboken Terminal - Hudson St & Hudson Pl,-0.2299999999999999,winter,1,1
2022-01-17,Hoboken Terminal - Hudson St & Hudson Pl,0.39,winter,1,1
2022-01-25,City Hall - Washington St & 1 St,0.36,winter,1,1
2022-01-05,City Hall - Washington St & 1 St,0.32,winter,1,1
2022-01-26,City Hall - Washington St & 1 St,-0.2299999999999999,winter,1,1
2022-01-01,Hoboken Terminal - Hudson St & Hudson Pl,1.16,winter,1,1
2022-01-18,City Hall - Washington St & 1 St,0.18,winter,1,1
2022-01-30,Hoboken Terminal - River St & Hudson Pl,-0.71,winter,1,1
2022-01-12,Hoboken Terminal - River St & Hudson Pl,-0.19,winter,1,1
2022-01-22,Montgomery St,-0.5900000000000001,winter,1,1
2022-01-22,Dey St,-0.5900000000000001,winter,1,1
2022-01-25,Dey St,0.36,winter,1,1
2022-01-18,Oakland Ave,0.18,winter,1,1
2022-01-26,Madison St & 1 St,-0.2299999999999999,winter,1,1
2022-01-21,Oakland Ave,-0.6,winter,1,1
2022-01-27,Hoboken Terminal - River St & Hudson Pl,-0.42,winter,1,1
2022-01-12,Hoboken Terminal - Hudson St & Hudson Pl,-0.19,winter,1,1
2022-01-23,Hoboken Terminal - Hudson St & Hudson Pl,-0.0699999999999999,winter,1,1
2022-01-13,Hoboken Terminal - Hudson St & Hudson Pl,0.4,winter,1,1
2022-01-22,City Hall - Washington St & 1 St,-0.5900000000000001,winter,1,1
2022-01-11,Pershing Field,-0.54,winter,1,1
2022-01-10,Warren St,0.16,winter,1,1
2022-01-04,Oakland Ave,-0.27,winter,1,1
2022-01-26,Oakland Ave,-0.2299999999999999,winter,1,1
2022-01-24,Hoboken Terminal - Hudson St & Hudson Pl,-0.02,winter,1,1
